 n     ch_hole col3
     780 -0.52131970E+01 -0.12821941E-17
     781 -0.52140079E+01 -0.12821740E-17
     782 -0.52146637E+01 -0.12821461E-17
     783 -0.52152152E+01 -0.12821987E-17
     784 -0.52158161E+01 -0.12821678E-17
     785 -0.52169333E+01 -0.12821444E-17
     786 -0.52176224E+01 -0.12821934E-17
     787 -0.52179939E+01 -0.12821798E-17
     788 -0.52186066E+01 -0.12821783E-17
     789 -0.52189109E+01 -0.12821883E-17
     790 -0.52193291E+01 -0.12821835E-17
     791 -0.52196928E+01 -0.12821782E-17
     792 -0.52200034E+01 -0.12821778E-17
     793 -0.52204399E+01 -0.12822008E-17
     794 -0.52207606E+01 -0.12821733E-17
     795 -0.52210546E+01 -0.12821982E-17
     796 -0.52214981E+01 -0.12822029E-17
     797 -0.52219501E+01 -0.12822037E-17
     798 -0.52222422E+01 -0.12822062E-17
     799 -0.52227001E+01 -0.12821744E-17
     800 -0.52231198E+01 -0.12821931E-17
     801 -0.52235623E+01 -0.12821737E-17
     802 -0.52240980E+01 -0.12821880E-17
     803 -0.52247042E+01 -0.12821868E-17
     804 -0.52253030E+01 -0.12821370E-17
     805 -0.52257098E+01 -0.12821318E-17
     806 -0.52262049E+01 -0.12821552E-17
     807 -0.52266072E+01 -0.12821619E-17
     808 -0.52272475E+01 -0.12821199E-17
     809 -0.52276427E+01 -0.12821114E-17
     810 -0.52283721E+01 -0.12820818E-17
     811 -0.52290690E+01 -0.12820629E-17
     812 -0.52295984E+01 -0.12820571E-17
     813 -0.52302161E+01 -0.12820658E-17
     814 -0.52311792E+01 -0.12821111E-17
     815 -0.52321752E+01 -0.12820271E-17
     816 -0.52326963E+01 -0.12820586E-17
     817 -0.52331844E+01 -0.12820758E-17
     818 -0.52339851E+01 -0.12820395E-17
     819 -0.52349865E+01 -0.12820549E-17
     820 -0.52354328E+01 -0.12820548E-17
     821 -0.52361119E+01 -0.12820439E-17
     822 -0.52366064E+01 -0.12820459E-17
     823 -0.52371792E+01 -0.12820646E-17
     824 -0.52377885E+01 -0.12820727E-17
     825 -0.52384808E+01 -0.12820730E-17
     826 -0.52389307E+01 -0.12820686E-17
     827 -0.52393071E+01 -0.12820862E-17
     828 -0.52397918E+01 -0.12821025E-17
     829 -0.52404533E+01 -0.12821436E-17
     830 -0.52409657E+01 -0.12821518E-17
